,Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
1488,Toyota,2006,Corolla,Sedan,2006 Toyota Corolla Ascent,USED,Automatic,1.8,Front,Unleaded,7.8,222315,Red / -,"Lansvale, NSW",4,Sedan,4,5,6350
1489,Ford,2016,Ranger,Ute / Tray,2016 Ford Ranger XLS 3.2 (4X4),USED,Automatic,3.2,4WD,Diesel,9.2,230441,White / Black,"Minchinbury, NSW",5,Ute / Tray,4,5,28880
1490,Kia,2018,Picanto,Hatchback,2018 Kia Picanto GT-Line,USED,Automatic,1.2,Front,Unleaded,5.8,115923,Black / -,"West Ryde, NSW",4,Hatchback,5,5,16388
1491,Kia,2019,Optima,Sedan,2019 Kia Optima SI,USED,Automatic,2.4,Front,Unleaded,8.3,54300,Silver / -,"Lindfield, NSW",4,Sedan,4,5,24990
1492,Nissan,2009,Pathfinder,SUV,2009 Nissan Pathfinder ST-L (4X4),USED,Automatic,2.5,4WD,Diesel,10.5,236333,Silver / Grey,"Minchinbury, NSW",4,SUV,4,7,6995
1493,Toyota,2017,Kluger,SUV,2017 Toyota Kluger Grande (4X4),USED,Automatic,3.5,AWD,Unleaded,9.5,138667,Silver / Black,"Artarmon, NSW",6,SUV,4,7,37990
1494,Mazda,2013,2,Hatchback,2013 Mazda 2 NEO,USED,Automatic,1.5,Front,Unleaded,6.8,59409,Black / -,"Minchinbury, NSW",4,Hatchback,5,5,15995
1495,Skoda,2014,Fabia,Hatchback,2014 Skoda Fabia 77 TSI Monte Carlo,USED,Automatic,1.2,Front,Unleaded,5.3,72737,White / -,"Minchinbury, NSW",4,Hatchback,5,5,14995
1496,Holden,2018,Calais,Hatchback,2018 Holden Calais V,USED,Automatic,3.6,AWD,Premium,9.1,109778,Grey / Grey,"Strathalbyn, SA",6,Hatchback,5,5,29990
1497,Mercedes-Benz,2021,A180,Sedan,2021 Mercedes-Benz A180,USED,Automatic,1.3,Front,Unleaded,5.7,20022,Silver / Black,"Smeaton Grange, NSW",4,Sedan,4,5,54880
1498,Mazda,2015,CX-5,SUV,2015 Mazda CX-5 Akera (4X4),USED,Automatic,2.2,AWD,Diesel,5.7,124085,White / Black,"Blacktown, NSW",4,SUV,4,5,23990
1499,Ford,2015,Ranger,Ute / Tray,2015 Ford Ranger XL 2.2 HI-Rider (4X2),USED,Automatic,2.2,Rear,Diesel,8.9,194655,White / Black,"Minchinbury, NSW",4,Ute / Tray,4,5,28995
1500,Toyota,2018,Corolla,Hatchback,2018 Toyota Corolla Ascent Sport,USED,Automatic,1.8,Front,Unleaded,6.1,67820,Red / Grey,"Enfield, SA",4,Hatchback,5,5,24990
1501,Toyota,2018,Kluger,SUV,2018 Toyota Kluger GX (4X2),USED,Automatic,3.5,Front,Unleaded,9.1,49156,White / -,"Alexandria, NSW",6,SUV,4,7,39990
1502,Toyota,2012,Landcruiser,Ute / Tray,2012 Toyota Landcruiser Workmate (4X4),USED,Manual,4.5,4WD,Diesel,11.5,325999,White / -,"Roselands, NSW",8,Ute / Tray,2,3,49990
1503,Mitsubishi,2017,Triton,Ute / Tray,2017 Mitsubishi Triton GLS (4X4),USED,Automatic,2.4,4WD,Diesel,7.6,129614,White / -,"Granville, NSW",4,Ute / Tray,4,5,32999
1504,Nissan,2003,Pulsar,Sedan,2003 Nissan Pulsar ST,USED,Manual,1.8,Front,Unleaded,7.8,146007,Gold / Grey,"Molendinar, QLD",4,Sedan,4,5,3990
1505,Mitsubishi,2020,Outlander,SUV,2020 Mitsubishi Outlander ES 7 Seat (awd),USED,Automatic,2.4,AWD,Unleaded,7.2,56495,Brown / -,"Ryde, NSW",4,SUV,4,7,28888
1506,Mitsubishi,2018,Triton,Ute / Tray,2018 Mitsubishi Triton Exceed (4X4),USED,Automatic,2.4,4WD,Diesel,7.6,69804,White / Black,"Greenacre, NSW",4,Ute / Tray,4,5,43800
1507,Honda,2018,CR-V,SUV,2018 Honda CR-V VTI-S (2WD),USED,Automatic,1.5,Front,Unleaded,7.3,123995,Grey / Black Cloth,"Berwick, VIC",4,SUV,4,5,28999
1508,Nissan,2018,X-Trail,SUV,2018 Nissan X-Trail ST-L (4WD),USED,Automatic,2.5,4WD,Unleaded,8.3,62669,Silver / Grey,"Strathalbyn, SA",4,SUV,4,5,31990
1509,Volkswagen,2020,Golf,Hatchback,2020 Volkswagen Golf 110 TSI Comfortline,USED,Automatic,1.4,Front,Premium,5.4,22810,Black / Black,"Brookvale, NSW",4,Hatchback,5,5,28490
1510,Honda,2021,Civic,Hatchback,2021 Honda Civic VTI-LX,USED,Automatic,1.5,Front,Unleaded,6.3,8524,White / -,"Narellan, NSW",4,Hatchback,4,5,43888
1511,Toyota,2018,Yaris,Hatchback,2018 Toyota Yaris Ascent,USED,Automatic,1.3,Front,Unleaded,6.4,50352,White / -,"Belmore, NSW",4,Hatchback,5,5,20888
1512,Jeep,2018,Compass,SUV,2018 Jeep Compass Longitude (fwd),USED,Automatic,2.4,Front,Unleaded,7.9,84230,White / -,"Elderslie, NSW",4,SUV,4,5,21999
1513,Ram,2020,1500,Commercial,2020 Ram 1500 Express (4X4),USED,Automatic,5.7,4WD,Unleaded,12.2,93862,White / -,"Carlton, NSW",8,Commercial,4,5,75888
1514,Nissan,2005,Pulsar,Sedan,2005 Nissan Pulsar ST,USED,Automatic,1.8,Front,Unleaded,7.9,175185,Grey / -,"Lansvale, NSW",4,Sedan,4,5,5550
1515,Mercedes-Benz,2017,B200,Hatchback,2017 Mercedes-Benz B200,USED,Automatic,1.6,Front,Premium,5.9,51923,Silver / -,"Kirrawee, NSW",4,Hatchback,5,5,23890
1516,Nissan,2015,X-Trail,SUV,2015 Nissan X-Trail ST (4X4),USED,Automatic,2.5,4WD,Unleaded,8.3,78291,Red / Grey,"Enfield, SA",4,SUV,4,5,22990
1517,Toyota,2017,Corolla,Hatchback,2017 Toyota Corolla Hybrid,USED,Automatic,1.8,Front,Hybrid,4.1,21398,White / -,"South Hurstville, NSW",4,Hatchback,5,5,29990
1518,Kia,2018,Stinger,Sedan,2018 Kia Stinger GT (blk LTH W Michelin Tyr),USED,Automatic,3.3,Rear,Unleaded,10.2,114501,Silver / Black,"Brookvale, NSW",6,Sedan,4,5,39999
1519,Mazda,2014,BT-50,Ute / Tray,2014 Mazda BT-50 XTR (4X4),USED,Manual,3.2,4WD,Diesel,8.9,157923,White / -,"Liverpool, NSW",5,Ute / Tray,4,5,35950
1520,Ford,2015,Territory,SUV,2015 Ford Territory TX (rwd),USED,Automatic,2.7,Rear,Diesel,8.2,315492,White / -,"Penrith, NSW",6,SUV,4,5,11950
1521,Nissan,2014,X-Trail,SUV,2014 Nissan X-Trail TS (fwd),USED,Automatic,1.6,Front,Diesel,5.3,90041,Grey / Grey,"Molendinar, QLD",4,SUV,4,5,19990
1522,Toyota,2021,Kluger,SUV,2021 Toyota Kluger GX Hybrid AWD,USED,Automatic,2.5,AWD,Hybrid,5.6,58455,White / -,"Blacktown, NSW",4,SUV,5,7,59888
1523,Kia,2021,Sorento,SUV,2021 Kia Sorento Sport+ 7 Seat,USED,Automatic,3.5,Front,Unleaded,9.7,14699,White / Black,"Arncliffe, NSW",6,SUV,4,7,54990
1524,Toyota,2019,RAV4,SUV,2019 Toyota RAV4 GX AWD Hybrid,USED,Automatic,2.5,AWD,Hybrid,4.8,136608,White / Grey,"Brookvale, NSW",4,SUV,5,5,44888
1525,MG,2022,HS,Alto North Shore MG,2022 MG HS Phev Essence,NEW,Automatic,1.5,Front,Hybrid,1.7,0,Silver / Knight Black,"Artarmon, NSW",4,SUV,4,5,53690
1526,Nissan,2016,Navara,Ute / Tray,2016 Nissan Navara ST-X (4X2) (sunroof),USED,Manual,2.3,Rear,Diesel,6.3,162887,Black / Grey,"Enfield, SA",4,Ute / Tray,4,5,28990
1527,Jeep,2020,Grand,SUV,2020 Jeep Grand Cherokee Trackhawk (4X4),USED,Automatic,6.2,4WD,Premium,16.8,29464,Silver / Black,"Arncliffe, NSW",8,SUV,4,5,159990
1528,Nissan,2016,Navara,Ute / Tray,2016 Nissan Navara RX (4X2),USED,Manual,2.3,Front,Diesel,6.4,191645,White / Grey  Cloth,"Bankstown, NSW",4,Ute / Tray,2,4,19888
1529,Mazda,2018,2,Hatchback,2018 Mazda 2 NEO,USED,Automatic,1.5,Front,Unleaded,5.5,11140,Blue / Grey,"Enfield, SA",4,Hatchback,5,5,21990
1530,Toyota,2017,Hilux,Ute / Tray,2017 Toyota Hilux SR (4X4),USED,Automatic,2.8,4WD,Diesel,8.5,209078,White / -,"Campbelltown, NSW",4,Ute / Tray,4,5,37990
1531,Honda,2006,Civic,Sedan,2006 Honda Civic VTI-L,USED,Automatic,1.8,Front,Unleaded,7.2,99000,Grey / -,"Lansvale, NSW",4,Sedan,4,5,9949
1532,Ford,2017,Ranger,Ute / Tray,2017 Ford Ranger XL 2.2 (4X4),USED,Automatic,2.2,4WD,Diesel,8.1,158001,White / Grey,"Enfield, SA",4,Ute / Tray,4,5,28990
1533,Holden,2011,Commodore,Sedan,2011 Holden Commodore SV6,USED,Manual,3.6,Rear,Unleaded,10.2,193604,Red / -,"Liverpool, NSW",6,Sedan,4,5,24950
1534,Mitsubishi,2020,Triton,Ute / Tray,2020 Mitsubishi Triton GSR (4X4),USED,Automatic,2.4,4WD,Diesel,8.6,52990,Orange / Black Leather,"Lilydale, VIC",4,Ute / Tray,4,5,52990
1535,Subaru,2022,Forester,SUV,2022 Subaru Forester 2.5I-S (awd),USED,Automatic,2.5,AWD,Unleaded,7.4,13519,Silver / -,"Narellan, NSW",4,SUV,4,5,45777
1536,Audi,2004,A3,Hatchback,2004 Audi A3 1.6 Attraction,USED,Manual,1.6,Front,Premium,6.7,138000,Grey / Grey,"Minchinbury, NSW",4,Hatchback,3,5,6995
1537,Toyota,2018,Camry,Sedan,2018 Toyota Camry Ascent Sport (hybrid),USED,Automatic,2.5,Front,Hybrid,4.2,113992,White / -,"Belmore, NSW",4,Sedan,4,5,33888
1538,Audi,2020,Q3,SUV,2020 Audi Q3 35 Tfsi,USED,Automatic,1.4,Front,Premium,7.2,24969,Grey / Black,"Zetland, NSW",4,SUV,4,5,50880
1539,Toyota,2019,Corolla,Sedan,2019 Toyota Corolla Ascent,USED,Automatic,1.8,Front,Unleaded,6.6,47992,Blue / Grey,"Enfield, SA",4,Sedan,4,5,25990
1540,Kia,2013,RIO,Hatchback,2013 Kia RIO S,USED,Manual,1.4,Front,Unleaded,5.6,68913,White / -,"Arncliffe, NSW",4,Hatchback,3,5,10990
1541,Holden,2011,Cruze,Sedan,2011 Holden Cruze CD,USED,Automatic,1.8,Front,Unleaded,7.4,108852,Silver / Black Cloth,"Elderslie, NSW",4,Sedan,4,5,6999
1542,Mazda,2023,CX-5,Sutherland Mazda New Cars,2023 Mazda CX-5 Maxx Sport (fwd),DEMO,Automatic,2.5,Front,Unleaded,7.5,120,White / -,"Kirrawee, NSW",4,SUV,4,5,41500
1543,MG,2022,HS,SUV,2022 MG HS +EV Phev Excite,USED,Automatic,1.5,Front,Hybrid,1.7,510,- / Black,"Revesby, NSW",4,SUV,5,5,43990
1544,Holden,2014,Cruze,Sedan,2014 Holden Cruze Z-Series,USED,Automatic,1.8,Front,Unleaded,7.4,110851,White / Grey,"Enfield, SA",4,Sedan,4,5,13990
1545,Hyundai,2014,Santa,SUV,2014 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,2.2,AWD,Diesel,7.3,138870,Black / -,"Minchinbury, NSW",4,SUV,4,7,24990
1546,Kia,2019,Stinger,Sedan,2019 Kia Stinger GT (blk LTH W Michelin Tyr),USED,Automatic,3.3,Rear,Unleaded,10.2,55696,Blue / -,"Liverpool, NSW",6,Sedan,4,5,54950
1547,Nissan,2005,Patrol,Ute / Tray,2005 Nissan Patrol ST (4X4),USED,Manual,4.2,4WD,Diesel,12.9,282812,White / -,"Thornleigh, NSW",6,Ute / Tray,2,3,45990
1548,Nissan,2013,Micra,Hatchback,2013 Nissan Micra ST,USED,Manual,1.2,Front,Unleaded,5.9,72982,White / -,"Strathalbyn, SA",3,Hatchback,5,5,10990
1549,MG,2022,HS,Alto North Shore MG,2022 MG HS Vibe,NEW,Automatic,1.5,Front,Unleaded,7.3,28,Red / Knight Black,"Artarmon, NSW",4,SUV,4,5,30990
1550,Honda,2010,Civic,Sedan,2010 Honda Civic VTI,USED,Automatic,1.8,Front,Unleaded,7.2,200192,Blue / -,"Cabramatta, NSW",4,Sedan,4,5,9750
1551,Holden,2014,Colorado,Ute / Tray,2014 Holden Colorado LTZ (4X4),USED,Automatic,2.8,4WD,Diesel,9.1,199564,Black / Black Leather,"Slacks Creek, QLD",4,Ute / Tray,4,5,30990
1552,Kia,2011,RIO,Hatchback,2011 Kia RIO SLI,USED,Automatic,1.6,Front,Unleaded,6.1,126958,Silver / Grey,"Enfield, SA",4,Hatchback,5,5,11990
